,NINO3.4,PDO,NPI,NPGO,AO
1973.6,-1.28,-0.732238274,0.303882475,0.25435,0.322999212
1973.7,-1.45,-0.831189392,0.605457558,0.26235993,0.354047917
1973.8,-1.71,-1.052180223,1.011738294,0.178329455,0.209926317
1973.8,-1.95,-1.134639488,0.506287863,0.172928846,0.073219334
1973.9,-2.03,-1.250082459,0.15827988,-0.233065353,0.024560916
1974.0,-1.84,-1.19730853,0.086294633,-0.315074615,-0.202975115
1974.1,-1.55,-1.243485718,-0.234304397,-0.424695562,-0.464803744
1974.2,-1.23,-1.012599776,-0.373661892,-0.119313312,-0.429120905
1974.3,-1.03,-0.560723003,-0.931236191,-0.053306486,-0.437462348
1974.3,-0.91,-0.366119137,-0.041679139,0.020290384,-0.113999722
1974.4,-0.77,-0.220990831,0.042550424,0.128827116,-0.076463228
1974.5,-0.53,-0.039580447,-0.275828523,0.257187109,-0.088511979
1974.6,-0.37,0.207797348,-0.319558478,0.141135493,-0.129292368
1974.7,-0.41,0.201200607,-0.593138408,0.030403277,-0.784559062
1974.8,-0.61,0.253974537,-0.421160288,-0.035257049,-0.739144539
1974.8,-0.75,0.069265783,-0.755560901,0.229761618,-0.418462394
1974.9,-0.64,-0.174813642,0.340376666,0.419088366,0.795217573
1975.0,-0.54,-0.550827891,0.513562825,0.701675838,1.086704667
1975.1,-0.57,-0.679464345,1.253829021,0.701669465,0.899022198
1975.2,-0.65,-0.831189392,1.07758891,0.704808788,0.349413782
1975.3,-0.73,-0.933438881,0.894720619,0.624116778,-0.025024329
1975.3,-0.83,-1.147832971,0.625949683,0.546719513,-0.24468233
1975.4,-0.98,-0.850979616,-0.240750837,0.505267051,-0.274340794
1975.5,-1.13,-0.867471469,0.097808424,0.598283105,0.070438853
1975.6,-1.2,-0.890560063,0.295151807,0.632904193,0.812363872
1975.7,-1.37,-1.184115047,0.786485283,0.766515752,0.716437277
1975.8,-1.43,-1.517250478,0.7842064,0.840853764,0.94304648
1975.8,-1.55,-1.642588561,0.218175825,0.992561559,0.948607442
1975.9,-1.65,-1.593113002,-0.429525693,1.0290766,0.900412438
1976.0,-1.56,-1.517250478,0.305808567,1.001826405,1.380972242
1976.1,-1.17,-1.302856389,0.857207255,1.18203722,1.055192548
1976.2,-0.73,-1.220397124,1.27037631,1.589352708,1.243338431
1976.3,-0.47,-0.834487763,0.190387357,1.888604253,0.503730479
1976.3,-0.28,-0.738835016,-0.166937496,2.004740867,0.383706381
1976.4,-0.05,-0.244079425,-0.53545542,1.953969738,0.029195051
1976.5,0.18,0.402401214,-0.57195852,2.030629746,0.260438389
1976.6,0.35,0.893858434,-0.999481505,2.140105453,-0.235877473
1976.7,0.62,1.058776964,-0.681157793,1.968049967,-0.457852542
1976.8,0.81,1.048881852,-1.109813983,1.709609771,-0.757217665
1976.8,0.86,1.180816677,-1.208664742,1.378933807,-1.374021039
1976.9,0.85,1.358928689,-2.449873494,1.267464219,-2.747115251
1977.0,0.71,1.312751501,-3.002936355,1.375271699,-3.638259419
1977.1,0.64,1.147832971,-1.548893521,1.486206676,-2.517725567
1977.2,0.34,0.702552939,0.014229207,1.508625487,-0.156170351
1977.3,0.23,0.43868329,1.222387927,1.250034611,0.823485796
1977.3,0.21,0.339732172,0.231287863,1.01739973,0.559340099
1977.4,0.34,0.303450096,0.041481363,0.909535265,-0.284535891
1977.5,0.35,0.412296326,-0.408926662,0.97336263,-0.987070763
1977.6,0.42,0.092354377,0.04427874,0.926158194,-0.610778998
1977.7,0.57,-0.171515271,-0.231082959,0.991013781,-0.386950276
1977.8,0.73,-0.620093674,0.385268334,1.040177989,0.547754762
1977.8,0.81,-0.666270862,0.336663459,1.066439614,0.164975207
1977.9,0.79,-0.352925655,-0.451975982,1.054983642,0.008341443
1978.0,0.69,0.362820767,-1.944743782,0.993823424,-1.668752027
1978.1,0.42,1.032389999,-2.799517141,0.922500372,-1.324899208
1978.2,0.06,1.345735207,-2.006118595,0.694081453,-1.61221558
1978.3,-0.18,1.164324824,-0.348419571,0.496739782,-0.188145883
1978.3,-0.31,0.771818722,0.604033925,0.427125928,-0.126511887
1978.4,-0.29,-0.062669041,0.785726249,0.418907219,0.041707215
1978.5,-0.36,-0.54423115,0.167653767,0.502050126,-0.149682562
1978.6,-0.42,-0.738835016,-0.360360986,0.772695279,-0.489828074
1978.7,-0.42,-0.296853354,-0.406409023,0.750421154,0.204828769
1978.8,-0.29,-0.135233195,-0.18471955,0.413648018,1.513508504
1978.8,-0.08,-0.131934824,0.696937139,-0.306713748,1.105241207
1978.9,0,-0.356224025,0.785106193,-0.566560185,-0.344316233
1979.0,0.03,-0.771818722,1.93309814,-0.558884416,-1.8119468
1979.1,0.07,-0.531037667,0.498002637,-0.412967009,-1.735020158
1979.2,0.2,-0.046177188,0.560519564,-0.568798914,-1.236387228
1979.3,0.28,0.752028498,-0.88597926,-0.733310518,-1.029241392
1979.3,0.23,0.70914968,0.345855605,-0.791460662,-0.219658001
1979.4,0.05,0.692657827,0.217341957,-0.825617911,0.33458455
1979.5,0.04,0.504650703,0.177453496,-0.96633612,0.133463089
1979.6,0.17,0.778415463,-0.738630532,-0.954966976,-0.320218731
1979.7,0.33,0.850979616,-1.348964792,-0.794405102,-0.914314843
1979.8,0.45,0.837786134,-0.74633312,-0.566789266,-0.377218592
1979.8,0.52,0.369417508,-0.249894876,-0.493794394,0.244218917
1979.9,0.64,-0.016491853,0.423050745,-0.880684653,-0.137170397
1980.0,0.59,0.260571278,-1.226512722,-1.249663395,-0.790120024
1980.1,0.46,0.758625239,-1.596110398,-1.432505998,-2.054312063
1980.2,0.34,1.286364536,-2.285321787,-0.881522227,-1.291070022
1980.3,0.38,1.246784089,-1.030480721,-0.428184256,-1.393484406
1980.3,0.48,0.814697539,-0.266003849,-0.287722482,-0.395291719
1980.4,0.46,0.399102843,0.340284014,-0.565045375,-0.48936466
1980.5,0.25,0.171515271,0.846151379,-0.826677959,-0.039853561
1980.6,0.03,0.277063131,0.383349369,-0.830926873,-0.228926271
1980.7,-0.07,0.646480639,0.108522201,-0.553676343,-0.182121507
1980.8,0.02,0.60030345,-0.81172404,-0.269160735,-0.727095788
1980.8,0.11,0.534336038,-1.354591619,-0.144929858,-0.898558784
1980.9,-0.01,0.283659872,-2.742261777,-0.204429557,-0.710876315
1981.0,-0.26,0.643182268,-2.623597748,-0.481329215,-0.234023819
1981.1,-0.5,1.002704664,-3.005667807,-0.60365012,-0.969924464
1981.2,-0.47,1.286364536,-1.317821253,-0.712310968,-0.71690069
1981.3,-0.37,1.382017283,-1.238947687,-0.335189173,-0.479632977
1981.3,-0.26,1.612903226,-0.506186302,-0.125436137,0.079707123
1981.4,-0.29,1.411702619,-0.143466253,-0.095249675,0.140414292
1981.5,-0.3,0.893858434,0.046671656,-0.364395317,-0.056073034
1981.6,-0.25,0.474965367,0.244727746,-0.366147589,-0.335047963
1981.7,-0.16,0.257272907,0.231286081,-0.294687391,-1.135826498
1981.8,-0.13,0.461771885,0.028380016,0.141384149,-1.109875342
1981.8,-0.15,0.54423115,-0.023966574,0.29681541,-1.191436118
1981.9,-0.08,0.597005079,0.157567173,0.323158644,-1.059826683
1982.0,-0.05,0.399102843,1.211838073,-0.165619195,-0.521340192
1982.1,0.07,0.240781054,1.697667664,-0.508097109,0.539876732
1982.2,0.19,0.065967412,1.681964935,-0.769370674,1.622874091
1982.3,0.47,-0.191305495,1.250183522,-0.805254376,1.074655915
1982.3,0.66,-0.511247444,0.322336255,-0.873315485,0.030121878
1982.4,0.72,-0.257272907,-0.25553952,-0.735196107,-0.641364289
1982.5,0.79,0.062669041,-0.228789823,-0.574398086,-0.376755179
1982.6,1.07,0.597005079,0.288737439,-0.45801753,0.428657491
1982.7,1.58,0.527739297,0.854548856,-0.576833687,0.328560174
1982.8,1.97,0.316643578,0.255377379,-0.699530742,0.467120812
1982.8,2.18,0.125338083,-0.265930796,-0.632016271,0.656656935
1982.9,2.23,0.188007124,-1.629725251,-0.148723964,1.384216136
1983.0,2.18,0.646480639,-3.067970922,0.253180463,0.240975022
1983.1,1.92,1.2566792,-4.132814839,0.452562996,-0.469901293
1983.2,1.54,1.68876575,-3.040079111,0.055115176,-1.441679411
1983.3,1.29,1.90645821,-1.226653482,-0.310167524,-0.809119978
1983.3,1.06,1.988917475,-0.057358706,-0.462290357,-0.401316094
1983.4,0.72,2.529850254,-0.262488419,-0.260779524,0.001390241
1983.5,0.31,2.546342107,-0.057561827,-0.040649301,0.714583623
1983.6,-0.08,2.068078369,0.681795667,-0.140477878,0.646925251
1983.7,-0.46,1.226993865,0.983548927,-0.271996492,1.220631169
1983.8,-0.81,0.953229105,-0.31550139,-0.10073618,0.392974651
1983.8,-1,1.210502012,-0.922869004,-0.181141509,0.401779508
1983.9,-0.91,1.388614025,-1.127979118,-0.099548767,0.186755642
1984.0,-0.6,1.451283066,-0.101325636,-0.147604994,0.365169841
1984.1,-0.42,1.477670031,-1.113785546,0.271354223,-0.826729691
1984.2,-0.34,1.484266772,-1.099910912,0.683762876,-1.377728347
1984.3,-0.43,1.513952108,-1.013553916,0.857980589,-1.015338987
1984.3,-0.51,0.989511181,0.123847195,0.863502042,0.093609528
1984.4,-0.45,0.428788179,0.20629499,0.64031993,0.234023819
1984.5,-0.3,-0.009895112,0.043642648,0.456333069,0.227999444
1984.6,-0.16,0.151725048,-0.240626114,0.481992154,0.033365772
1984.7,-0.24,0.402401214,-0.520442235,0.640206571,-0.10056073
1984.8,-0.56,0.646480639,-0.938229634,0.788449169,-0.764168868
1984.8,-0.92,0.695956198,-0.130516357,0.617270842,-0.366096668
1984.9,-1.14,0.923543769,-1.131186302,0.431495594,-1.541313314
1985.0,-1.04,0.999406293,0.542783836,0.153426078,-1.760971315
1985.1,-0.85,0.916947028,0.950215594,0.147171804,-1.712312897
